,Date_reported, Country, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,population in millions,new deaths per million ,target
1381,2020-07-21,Germany,522.0,202345.0,4.0,9090.0,83.02,0.0481811611659841,1.0
1382,2020-07-22,Germany,454.0,202799.0,5.0,9095.0,83.02,0.06022645145748013,1.0
1383,2020-07-23,Germany,569.0,203368.0,6.0,9101.0,83.02,0.07227174174897616,1.0
1384,2020-07-24,Germany,815.0,204183.0,10.0,9111.0,83.02,0.12045290291496026,1.0
1385,2020-07-25,Germany,781.0,204964.0,7.0,9118.0,83.02,0.08431703204047218,1.0
1386,2020-07-26,Germany,305.0,205269.0,0.0,9118.0,83.02,0.0,1.0
1387,2020-07-27,Germany,340.0,205609.0,0.0,9118.0,83.02,0.0,1.0
1388,2020-07-28,Germany,633.0,206242.0,4.0,9122.0,83.02,0.0481811611659841,1.0
1389,2020-07-29,Germany,684.0,206926.0,6.0,9128.0,83.02,0.07227174174897616,1.0
1390,2020-07-30,Germany,902.0,207828.0,6.0,9134.0,83.02,0.07227174174897616,1.0
1391,2020-07-31,Germany,870.0,208698.0,7.0,9141.0,83.02,0.08431703204047218,1.0
1392,2020-08-01,Germany,955.0,209653.0,0.0,9141.0,83.02,0.0,1.0
1393,2020-08-02,Germany,240.0,209893.0,0.0,9141.0,83.02,0.0,1.0
1394,2020-08-03,Germany,509.0,210402.0,7.0,9148.0,83.02,0.08431703204047218,1.0
1395,2020-08-04,Germany,879.0,211281.0,8.0,9156.0,83.02,0.0963623223319682,1.0
1396,2020-08-05,Germany,741.0,212022.0,12.0,9168.0,83.02,0.14454348349795232,1.0
1397,2020-08-06,Germany,1045.0,213067.0,7.0,9175.0,83.02,0.08431703204047218,1.0
1398,2020-08-07,Germany,1147.0,214214.0,8.0,9183.0,83.02,0.0963623223319682,1.0
1399,2020-08-08,Germany,1122.0,215336.0,12.0,9195.0,83.02,0.14454348349795232,1.0
1400,2020-08-09,Germany,555.0,215891.0,1.0,9196.0,83.02,0.012045290291496025,1.0
1401,2020-08-10,Germany,436.0,216327.0,1.0,9197.0,83.02,0.012045290291496025,1.0
1402,2020-08-11,Germany,966.0,217293.0,4.0,9201.0,83.02,0.0481811611659841,1.0
1403,2020-08-12,Germany,1226.0,218519.0,6.0,9207.0,83.02,0.07227174174897616,1.0
1404,2020-08-13,Germany,1445.0,219964.0,4.0,9211.0,83.02,0.0481811611659841,2.0
1405,2020-08-14,Germany,1449.0,221413.0,14.0,9225.0,83.02,0.16863406408094436,2.0
1406,2020-08-15,Germany,1415.0,222828.0,6.0,9231.0,83.02,0.07227174174897616,2.0
1407,2020-08-16,Germany,625.0,223453.0,0.0,9231.0,83.02,0.0,1.0
1408,2020-08-17,Germany,561.0,224014.0,1.0,9232.0,83.02,0.012045290291496025,1.0
1409,2020-08-18,Germany,0.0,224014.0,0.0,9232.0,83.02,0.0,0.0
1410,2020-01-29,Italy,6.0,6.0,0.0,0.0,60.36,0.0,0.0
1411,2020-01-30,Italy,0.0,6.0,0.0,0.0,60.36,0.0,0.0
1412,2020-01-31,Italy,0.0,6.0,0.0,0.0,60.36,0.0,0.0
1413,2020-02-01,Italy,0.0,6.0,0.0,0.0,60.36,0.0,0.0
1414,2020-02-02,Italy,0.0,6.0,0.0,0.0,60.36,0.0,0.0
1415,2020-02-03,Italy,0.0,6.0,0.0,0.0,60.36,0.0,0.0
1416,2020-02-04,Italy,0.0,6.0,0.0,0.0,60.36,0.0,0.0
1417,2020-02-05,Italy,0.0,6.0,0.0,0.0,60.36,0.0,0.0
1418,2020-02-06,Italy,0.0,6.0,0.0,0.0,60.36,0.0,0.0
