Entity,Code,Year,Continent,Date,Daily new confirmed deaths due to COVID-19 per million people (rolling 7-day average, right-aligned),Daily new confirmed deaths due to COVID-19 per million people (rolling 7-day average, right-aligned) Annotations,Weekly death growth (%),Weekly death growth (%) Annotations
Abkhazia,OWID_ABK,2015,Asia,,,,,
Laos,LAO,,,2020-07-09,0,,,
Laos,LAO,,,2020-07-10,0,,,
Laos,LAO,,,2020-07-11,0,,,
Laos,LAO,,,2020-07-12,0,,,
Laos,LAO,,,2020-07-13,0,,,
Laos,LAO,,,2020-07-14,0,,,
Laos,LAO,,,2020-07-15,0,,,
Laos,LAO,,,2020-07-16,0,,,
Laos,LAO,,,2020-07-17,0,,,
Laos,LAO,,,2020-07-18,0,,,
Laos,LAO,,,2020-07-19,0,,,
Laos,LAO,,,2020-07-20,0,,,
Laos,LAO,,,2020-07-21,0,,,
Laos,LAO,,,2020-07-22,0,,,
Laos,LAO,,,2020-07-23,0,,,
Laos,LAO,,,2020-07-24,0,,,
Laos,LAO,,,2020-07-25,0,,,
Laos,LAO,,,2020-07-26,0,,,
Laos,LAO,,,2020-07-27,0,,,
Laos,LAO,,,2020-07-28,0,,,
Laos,LAO,,,2020-07-29,0,,,
Laos,LAO,,,2020-07-30,0,,,
Laos,LAO,,,2020-07-31,0,,,
Laos,LAO,,,2020-08-01,0,,,
Laos,LAO,,,2020-08-02,0,,,
Laos,LAO,,,2020-08-03,0,,,
Laos,LAO,,,2020-08-04,0,,,
Laos,LAO,,,2020-08-05,0,,,
Laos,LAO,,,2020-08-06,0,,,
Laos,LAO,,,2020-08-07,0,,,
Laos,LAO,,,2020-08-08,0,,,
Laos,LAO,,,2020-08-09,0,,,
Laos,LAO,,,2020-08-10,0,,,
Laos,LAO,,,2020-08-11,0,,,
Laos,LAO,,,2020-08-12,0,,,
Laos,LAO,,,2020-08-13,0,,,
Laos,LAO,,,2020-08-14,0,,,
Laos,LAO,,,2020-08-15,0,,,
Laos,LAO,,,2020-08-16,0,,,
Laos,LAO,,,2020-08-17,0,,,
Laos,LAO,,,2020-08-18,0,,,
Laos,LAO,,,2020-08-19,0,,,
Laos,LAO,,,2020-08-20,0,,,
Laos,LAO,,,2020-08-21,0,,,
Laos,LAO,,,2020-08-22,0,,,
Laos,LAO,,,2020-08-23,0,,,
Laos,LAO,,,2020-08-24,0,,,
Laos,LAO,,,2020-08-25,0,,,
Laos,LAO,,,2020-08-26,0,,,
Laos,LAO,,,2020-08-27,0,,,
Laos,LAO,,,2020-08-28,0,,,
Laos,LAO,,,2020-08-29,0,,,
Laos,LAO,,,2020-08-30,0,,,
Laos,LAO,,,2020-08-31,0,,,
Laos,LAO,,,2020-09-01,0,,,
Laos,LAO,,,2020-09-02,0,,,
Laos,LAO,,,2020-09-03,0,,,
Laos,LAO,,,2020-09-04,0,,,
Laos,LAO,,,2020-09-05,0,,,
Laos,LAO,,,2020-09-06,0,,,
Laos,LAO,,,2020-09-07,0,,,
Laos,LAO,,,2020-09-08,0,,,
Laos,LAO,,,2020-09-09,0,,,
Laos,LAO,,,2020-09-10,0,,,
Laos,LAO,,,2020-09-11,0,,,
Latvia,LVA,2015,Europe,,,,,
Latvia,LVA,,,2020-03-09,0,,,
Latvia,LVA,,,2020-03-10,0,,,
Latvia,LVA,,,2020-03-11,0,,,
Latvia,LVA,,,2020-03-12,0,,,
Latvia,LVA,,,2020-03-13,0,,,
Latvia,LVA,,,2020-03-14,0,,,
Latvia,LVA,,,2020-03-15,0,,,
Latvia,LVA,,,2020-03-16,0,,,
Latvia,LVA,,,2020-03-17,0,,,
Latvia,LVA,,,2020-03-18,0,,,
Latvia,LVA,,,2020-03-19,0,,,
Latvia,LVA,,,2020-03-20,0,,,
Latvia,LVA,,,2020-03-21,0,,,
Latvia,LVA,,,2020-03-22,0,,,
Latvia,LVA,,,2020-03-23,0,,,
Latvia,LVA,,,2020-03-24,0,,,
Latvia,LVA,,,2020-03-25,0,,,
Latvia,LVA,,,2020-03-26,0,,,
Latvia,LVA,,,2020-03-27,0,,,
Latvia,LVA,,,2020-03-28,0,,,
Latvia,LVA,,,2020-03-29,0,,,
Latvia,LVA,,,2020-03-30,0,,,
Latvia,LVA,,,2020-03-31,0,,,
Latvia,LVA,,,2020-04-01,0,,,
Latvia,LVA,,,2020-04-02,0,,,
Latvia,LVA,,,2020-04-03,0,,,
Latvia,LVA,,,2020-04-04,0.07571,,,
Latvia,LVA,,,2020-04-05,0.07571,,,
Latvia,LVA,,,2020-04-06,0.07571,,,
Latvia,LVA,,,2020-04-07,0.07571,,,
Latvia,LVA,,,2020-04-08,0.15143,,,
Latvia,LVA,,,2020-04-09,0.15143,,,
Latvia,LVA,,,2020-04-10,0.15143,,,
Latvia,LVA,,,2020-04-11,0.07571,,0,
Latvia,LVA,,,2020-04-12,0.15143,,100,
